COUNTYFP,NEVER,RARELY,SUM OF NEVER & RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM OF ALWAYS AND FREQUNTLY,STATE
12095,0.02,0.02,0.04,0.072,0.164,0.724,0.888,FL
12097,0.025,0.022,0.047,0.058,0.176,0.72,0.896,FL
12099,0.03,0.02,0.05,0.05,0.116,0.784,0.9,FL
12101,0.027,0.029,0.056,0.055,0.179,0.709,0.888,FL
12103,0.025,0.019,0.044,0.074,0.133,0.75,0.883,FL
12105,0.05,0.063,0.113,0.085,0.172,0.63,0.802,FL
12107,0.068,0.05,0.118,0.114,0.186,0.581,0.767,FL
12109,0.047,0.071,0.118,0.097,0.223,0.561,0.784,FL
12111,0.077,0.022,0.099,0.08,0.173,0.648,0.821,FL
12113,0.047,0.068,0.115,0.166,0.265,0.453,0.718,FL
12115,0.017,0.031,0.048,0.073,0.175,0.704,0.879,FL
12117,0.037,0.039,0.076,0.066,0.141,0.717,0.858,FL
12119,0.037,0.036,0.073,0.064,0.235,0.628,0.863,FL
12121,0.105,0.055,0.16,0.244,0.227,0.369,0.596,FL
12123,0.103,0.086,0.189,0.19,0.145,0.476,0.621,FL
12125,0.044,0.04,0.084,0.176,0.267,0.473,0.74,FL
12127,0.035,0.066,0.101,0.089,0.192,0.618,0.81,FL
12129,0.032,0.092,0.124,0.172,0.275,0.429,0.704,FL
12131,0.092,0.06,0.152,0.092,0.244,0.512,0.756,FL
MAX,0.17,0.168,0.274,0.288,0.324,0.819,0.978,FL
MIN,0.001,0.001,0.008,0.014,0.096,0.34,0.554,FL
AVERAGE,0.054,0.057106061,0.111106061,0.111075758,0.194848485,0.582939394,0.777787879,FL
12133,0.138,0.085,0.223,0.062,0.158,0.557,0.715,GA
13001,0.085,0.117,0.202,0.23,0.152,0.416,0.568,GA
13003,0.059,0.1,0.159,0.179,0.217,0.445,0.662,GA
13005,0.071,0.132,0.203,0.187,0.188,0.421,0.609,GA
13007,0.027,0.048,0.075,0.054,0.127,0.743,0.87,GA
13009,0.02,0.089,0.109,0.107,0.29,0.494,0.784,GA
13011,0.136,0.103,0.239,0.125,0.238,0.399,0.637,GA
13013,0.063,0.086,0.149,0.092,0.19,0.568,0.758,GA
13015,0.215,0.05,0.265,0.123,0.143,0.47,0.613,GA
13017,0.129,0.078,0.207,0.109,0.202,0.483,0.685,GA
13019,0.073,0.098,0.171,0.156,0.214,0.46,0.674,GA
13021,0.043,0.094,0.137,0.176,0.201,0.487,0.688,GA
13023,0.089,0.031,0.12,0.117,0.256,0.508,0.764,GA
13025,0.047,0.129,0.176,0.15,0.164,0.51,0.674,GA
13027,0.092,0.165,0.257,0.124,0.235,0.385,0.62,GA
13029,0.033,0.039,0.072,0.095,0.238,0.595,0.833,GA
13031,0.053,0.049,0.102,0.163,0.31,0.424,0.734,GA
13033,0.105,0.109,0.214,0.087,0.208,0.492,0.7,GA
13035,0.125,0.037,0.162,0.144,0.163,0.53,0.693,GA
13037,0.013,0.035,0.048,0.043,0.172,0.737,0.909,GA
13039,0.136,0.125,0.261,0.17,0.113,0.456,0.569,GA
13043,0.037,0.045,0.082,0.177,0.264,0.477,0.741,GA
13045,0.089,0.133,0.222,0.154,0.168,0.457,0.625,GA
13047,0.143,0.152,0.295,0.114,0.217,0.375,0.592,GA
13049,0.065,0.094,0.159,0.15,0.196,0.495,0.691,GA
13051,0.035,0.04,0.075,0.144,0.158,0.624,0.782,GA
13053,0.061,0.072,0.133,0.108,0.214,0.545,0.759,GA
13055,0.116,0.102,0.218,0.187,0.143,0.451,0.594,GA
13057,0.049,0.054,0.103,0.1,0.213,0.584,0.797,GA
13059,0.054,0.057,0.111,0.06,0.226,0.603,0.829,GA
13061,0.028,0.066,0.094,0.12,0.223,0.562,0.785,GA
13063,0.038,0.054,0.092,0.125,0.159,0.624,0.783,GA
13065,0.06,0.058,0.118,0.134,0.168,0.58,0.748,GA
13067,0.039,0.049,0.088,0.116,0.225,0.572,0.797,GA
13069,0.085,0.124,0.209,0.164,0.222,0.404,0.626,GA
13071,0.108,0.191,0.299,0.074,0.233,0.394,0.627,GA
13073,0.061,0.064,0.125,0.095,0.234,0.547,0.781,GA
13075,0.098,0.134,0.232,0.123,0.203,0.441,0.644,GA
13077,0.105,0.053,0.158,0.183,0.204,0.455,0.659,GA
13079,0.057,0.051,0.108,0.231,0.192,0.468,0.66,GA
13081,0.119,0.023,0.142,0.06,0.163,0.635,0.798,GA
13083,0.128,0.222,0.35,0.13,0.249,0.27,0.519,GA
13085,0.049,0.09,0.139,0.128,0.162,0.571,0.733,GA
13087,0.093,0.04,0.133,0.171,0.18,0.516,0.696,GA
13089,0.036,0.028,0.064,0.075,0.156,0.704,0.86,GA
13091,0.145,0.025,0.17,0.15,0.236,0.443,0.679,GA
13093,0.077,0.034,0.111,0.058,0.204,0.627,0.831,GA
13095,0.033,0.037,0.07,0.045,0.159,0.726,0.885,GA
13097,0.083,0.037,0.12,0.09,0.198,0.591,0.789,GA
13099,0.045,0.062,0.107,0.156,0.253,0.485,0.738,GA
13101,0.097,0.073,0.17,0.182,0.202,0.446,0.648,GA
13103,0.044,0.064,0.108,0.145,0.272,0.475,0.747,GA
13105,0.132,0.177,0.309,0.081,0.107,0.503,0.61,GA
13107,0.062,0.044,0.106,0.142,0.252,0.5,0.752,GA
13109,0.03,0.078,0.108,0.229,0.29,0.372,0.662,GA
13111,0.075,0.088,0.163,0.125,0.112,0.6,0.712,GA
13113,0.06,0.086,0.146,0.131,0.218,0.505,0.723,GA
13115,0.186,0.036,0.222,0.234,0.148,0.395,0.543,GA
13117,0.035,0.048,0.083,0.083,0.193,0.641,0.834,GA
13119,0.168,0.074,0.242,0.117,0.215,0.425,0.64,GA
13121,0.026,0.036,0.062,0.089,0.187,0.662,0.849,GA
13123,0.128,0.042,0.17,0.087,0.198,0.545,0.743,GA
13125,0.156,0.066,0.222,0.107,0.13,0.541,0.671,GA
13127,0.048,0.071,0.119,0.145,0.251,0.485,0.736,GA
13129,0.172,0.1,0.272,0.201,0.157,0.369,0.526,GA
13131,0.063,0.139,0.202,0.116,0.264,0.417,0.681,GA
13133,0.062,0.046,0.108,0.057,0.176,0.658,0.834,GA
13135,0.036,0.054,0.09,0.081,0.19,0.639,0.829,GA
13137,0.063,0.1,0.163,0.116,0.292,0.43,0.722,GA
13139,0.061,0.069,0.13,0.128,0.198,0.545,0.743,GA
13141,0.043,0.111,0.154,0.102,0.168,0.575,0.743,GA
13143,0.184,0.123,0.307,0.165,0.184,0.345,0.529,GA
13145,0.093,0.081,0.174,0.061,0.213,0.551,0.764,GA
13147,0.092,0.061,0.153,0.14,0.207,0.5,0.707,GA
13149,0.126,0.094,0.22,0.166,0.144,0.471,0.615,GA
13151,0.103,0.048,0.151,0.091,0.181,0.578,0.759,GA
13153,0.032,0.079,0.111,0.136,0.172,0.581,0.753,GA
13155,0.098,0.091,0.189,0.126,0.224,0.46,0.684,GA
13157,0.125,0.085,0.21,0.117,0.24,0.434,0.674,GA
13159,0.082,0.059,0.141,0.181,0.118,0.56,0.678,GA
13161,0.124,0.138,0.262,0.165,0.183,0.39,0.573,GA
13163,0.251,0.055,0.306,0.099,0.102,0.493,0.595,GA
13165,0.114,0.053,0.167,0.084,0.261,0.488,0.749,GA
13167,0.119,0.053,0.172,0.109,0.251,0.468,0.719,GA
13169,0.049,0.087,0.136,0.226,0.209,0.43,0.639,GA
13171,0.07,0.06,0.13,0.171,0.293,0.406,0.699,GA
13173,0.102,0.07,0.172,0.145,0.181,0.502,0.683,GA
13175,0.122,0.056,0.178,0.141,0.291,0.391,0.682,GA
13177,0.035,0.033,0.068,0.039,0.162,0.732,0.894,GA
13179,0.007,0.099,0.106,0.066,0.215,0.614,0.829,GA
13181,0.073,0.104,0.177,0.111,0.233,0.479,0.712,GA
13183,0.014,0.119,0.133,0.086,0.159,0.621,0.78,GA
13185,0.108,0.101,0.209,0.149,0.208,0.435,0.643,GA
13187,0.035,0.086,0.121,0.13,0.245,0.504,0.749,GA
13189,0.072,0.053,0.125,0.123,0.265,0.488,0.753,GA
13191,0.034,0.076,0.11,0.188,0.221,0.481,0.702,GA
13193,0.078,0.049,0.127,0.113,0.21,0.55,0.76,GA
13195,0.165,0.084,0.249,0.055,0.186,0.511,0.697,GA
13197,0.084,0.12,0.204,0.167,0.196,0.433,0.629,GA
13199,0.109,0.086,0.195,0.138,0.15,0.517,0.667,GA
13201,0.064,0.056,0.12,0.182,0.159,0.539,0.698,GA
13205,0.044,0.112,0.156,0.055,0.159,0.63,0.789,GA
13207,0.072,0.035,0.107,0.184,0.253,0.455,0.708,GA
13209,0.114,0.083,0.197,0.174,0.228,0.401,0.629,GA
13211,0.061,0.064,0.125,0.093,0.168,0.614,0.782,GA
13213,0.193,0.03,0.223,0.182,0.177,0.417,0.594,GA
13215,0.063,0.073,0.136,0.083,0.225,0.555,0.78,GA
13217,0.094,0.076,0.17,0.123,0.207,0.5,0.707,GA
13219,0.049,0.063,0.112,0.095,0.181,0.611,0.792,GA
13221,0.056,0.082,0.138,0.054,0.181,0.627,0.808,GA
13223,0.097,0.068,0.165,0.108,0.233,0.494,0.727,GA
13225,0.027,0.074,0.101,0.172,0.16,0.567,0.727,GA
13227,0.038,0.118,0.156,0.101,0.188,0.555,0.743,GA
13229,0.05,0.143,0.193,0.127,0.157,0.522,0.679,GA
13231,0.059,0.06,0.119,0.147,0.192,0.542,0.734,GA
13233,0.106,0.071,0.177,0.192,0.145,0.485,0.63,GA
13235,0.079,0.031,0.11,0.098,0.218,0.575,0.793,GA
13237,0.059,0.093,0.152,0.118,0.214,0.516,0.73,GA
13239,0.053,0.15,0.203,0.095,0.163,0.538,0.701,GA
13241,0.1,0.083,0.183,0.124,0.229,0.464,0.693,GA
13243,0.016,0.065,0.081,0.05,0.2,0.669,0.869,GA
13245,0.068,0.059,0.127,0.114,0.18,0.578,0.758,GA
13247,0.058,0.078,0.136,0.115,0.216,0.534,0.75,GA
13249,0.07,0.102,0.172,0.117,0.214,0.497,0.711,GA
13251,0.198,0.069,0.267,0.081,0.242,0.41,0.652,GA
13253,0.073,0.079,0.152,0.202,0.135,0.51,0.645,GA
13255,0.072,0.038,0.11,0.179,0.202,0.509,0.711,GA
13257,0.087,0.116,0.203,0.116,0.31,0.37,0.68,GA
13259,0.055,0.092,0.147,0.133,0.203,0.517,0.72,GA
13261,0.055,0.056,0.111,0.046,0.202,0.641,0.843,GA
13263,0.168,0.08,0.248,0.089,0.171,0.492,0.663,GA
13265,0.065,0.048,0.113,0.086,0.158,0.644,0.802,GA
13267,0.051,0.076,0.127,0.214,0.224,0.434,0.658,GA
13269,0.126,0.069,0.195,0.182,0.201,0.422,0.623,GA
13271,0.156,0.075,0.231,0.134,0.208,0.427,0.635,GA
13273,0.019,0.029,0.048,0.03,0.167,0.755,0.922,GA
13275,0.026,0.096,0.122,0.12,0.228,0.53,0.758,GA
13277,0.066,0.088,0.154,0.122,0.227,0.496,0.723,GA
13279,0.097,0.069,0.166,0.179,0.226,0.429,0.655,GA
13281,0.076,0.096,0.172,0.098,0.199,0.531,0.73,GA
13283,0.096,0.07,0.166,0.168,0.267,0.399,0.666,GA
13285,0.175,0.031,0.206,0.119,0.178,0.497,0.675,GA
13287,0.141,0.042,0.183,0.094,0.175,0.547,0.722,GA
13289,0.04,0.077,0.117,0.188,0.148,0.547,0.695,GA
13291,0.065,0.119,0.184,0.087,0.168,0.56,0.728,GA
13293,0.16,0.1,0.26,0.114,0.206,0.421,0.627,GA
13295,0.144,0.164,0.308,0.117,0.21,0.366,0.576,GA
13297,0.106,0.127,0.233,0.184,0.141,0.442,0.583,GA
13299,0.061,0.108,0.169,0.109,0.166,0.556,0.722,GA
13301,0.095,0.065,0.16,0.14,0.226,0.474,0.7,GA
13303,0.104,0.07,0.174,0.053,0.157,0.617,0.774,GA
13305,0.029,0.139,0.168,0.143,0.139,0.55,0.689,GA
13307,0.019,0.064,0.083,0.103,0.21,0.603,0.813,GA
13309,0.135,0.078,0.213,0.162,0.23,0.395,0.625,GA
13311,0.057,0.064,0.121,0.099,0.347,0.433,0.78,GA
13313,0.185,0.068,0.253,0.203,0.142,0.403,0.545,GA
13315,0.173,0.017,0.19,0.083,0.157,0.569,0.726,GA
13317,0.08,0.086,0.166,0.114,0.172,0.548,0.72,GA
13319,0.039,0.062,0.101,0.141,0.224,0.534,0.758,GA
13321,0.069,0.056,0.125,0.083,0.187,0.605,0.792,GA
MAX,0.251,0.222,0.35,0.234,0.347,0.755,0.922,GA
MIN,0.007,0.017,0.048,0.03,0.102,0.27,0.519,GA
AVERAGE,0.083675,0.07841875,0.16209375,0.12574375,0.19953125,0.51259375,0.712125,GA
15001,0.01,0.032,0.042,0.037,0.122,0.799,0.921,HI
15003,0.011,0.012,0.023,0.027,0.151,0.798,0.949,HI
15005,0.026,0.013,0.039,0.032,0.08,0.85,0.93,HI
15007,0,0.021,0.021,0.046,0.108,0.825,0.933,HI
MAX,0.026,0.032,0.042,0.046,0.151,0.85,0.949,HI
MIN,0,0.012,0.021,0.027,0.08,0.798,0.921,HI
AVERAGE,0.01175,0.0195,0.03125,0.0355,0.11525,0.818,0.93325,GI
15009,0.034,0.016,0.05,0.025,0.122,0.803,0.925,ID
16001,0.118,0.078,0.196,0.084,0.194,0.526,0.72,ID
16003,0.094,0.216,0.31,0.218,0.218,0.254,0.472,ID
16005,0.084,0.193,0.277,0.176,0.195,0.352,0.547,ID
16007,0.151,0.12,0.271,0.102,0.243,0.385,0.628,ID
16009,0.038,0.059,0.097,0.15,0.152,0.601,0.753,ID
16011,0.095,0.197,0.292,0.175,0.229,0.304,0.533,ID
16013,0.155,0.107,0.262,0.102,0.13,0.506,0.636,ID
16015,0.057,0.038,0.095,0.038,0.549,0.318,0.867,ID
16017,0.088,0.116,0.204,0.119,0.241,0.436,0.677,ID
16019,0.096,0.202,0.298,0.188,0.247,0.268,0.515,ID
16021,0.045,0.171,0.216,0.061,0.185,0.537,0.722,ID
16023,0.107,0.213,0.32,0.159,0.222,0.298,0.52,ID
16025,0.186,0.03,0.216,0.047,0.098,0.639,0.737,ID
16027,0.113,0.095,0.208,0.17,0.24,0.381,0.621,ID
16029,0.1,0.181,0.281,0.191,0.202,0.326,0.528,ID
16031,0.134,0.223,0.357,0.102,0.149,0.392,0.541,ID
16033,0.119,0.228,0.347,0.196,0.239,0.218,0.457,ID
16035,0.037,0.112,0.149,0.127,0.25,0.475,0.725,ID
16037,0.069,0.029,0.098,0.199,0.244,0.458,0.702,ID
16039,0.206,0.044,0.25,0.038,0.173,0.539,0.712,ID
16041,0.131,0.118,0.249,0.085,0.256,0.41,0.666,ID
16043,0.111,0.206,0.317,0.202,0.247,0.233,0.48,ID
16045,0.119,0.136,0.255,0.111,0.198,0.436,0.634,ID
16047,0.211,0.202,0.413,0.089,0.153,0.345,0.498,ID
16049,0.045,0.094,0.139,0.164,0.275,0.423,0.698,ID
16051,0.099,0.208,0.307,0.192,0.249,0.252,0.501,ID
16053,0.175,0.219,0.394,0.096,0.167,0.343,0.51,ID
16055,0.146,0.105,0.251,0.17,0.22,0.359,0.579,ID
16057,0.002,0.012,0.014,0.066,0.328,0.592,0.92,ID
16059,0.109,0.173,0.282,0.231,0.125,0.362,0.487,ID
16061,0.027,0.073,0.1,0.157,0.285,0.459,0.744,ID
16063,0.18,0.2,0.38,0.105,0.135,0.379,0.514,ID
16065,0.101,0.207,0.308,0.196,0.25,0.245,0.495,ID
16067,0.134,0.219,0.353,0.106,0.152,0.39,0.542,ID
16069,0.009,0.03,0.039,0.117,0.326,0.517,0.843,ID
16071,0.083,0.173,0.256,0.153,0.185,0.406,0.591,ID
16073,0.123,0.137,0.26,0.146,0.171,0.423,0.594,ID
16075,0.081,0.199,0.28,0.174,0.242,0.304,0.546,ID
16077,0.078,0.205,0.283,0.152,0.185,0.381,0.566,ID
16079,0.068,0.144,0.212,0.299,0.147,0.342,0.489,ID
16081,0.099,0.189,0.288,0.19,0.25,0.272,0.522,ID
16083,0.166,0.222,0.388,0.101,0.177,0.335,0.512,ID
16085,0.041,0.118,0.159,0.102,0.378,0.361,0.739,ID
16087,0.136,0.13,0.266,0.324,0.172,0.239,0.411,ID
MAX,0.211,0.228,0.413,0.324,0.549,0.803,0.925,ID
MIN,0.002,0.012,0.014,0.025,0.098,0.218,0.411,ID
AVERAGE,0.102222222,0.141933333,0.244155556,0.142111111,0.217666667,0.396088889,0.613755556,ID
17001,0.18,0.092,0.272,0.189,0.19,0.35,0.54,IL
17003,0.11,0.082,0.192,0.148,0.262,0.398,0.66,IL
17005,0.07,0.055,0.125,0.108,0.218,0.549,0.767,IL
17007,0.025,0.006,0.031,0.065,0.244,0.66,0.904,IL
17009,0.18,0.099,0.279,0.136,0.2,0.385,0.585,IL
17011,0.012,0.019,0.031,0.156,0.208,0.605,0.813,IL
17013,0.082,0.06,0.142,0.219,0.366,0.273,0.639,IL
17015,0.03,0.064,0.094,0.12,0.19,0.596,0.786,IL
17017,0.103,0.08,0.183,0.19,0.187,0.441,0.628,IL
17019,0,0.067,0.067,0.08,0.192,0.661,0.853,IL
17021,0.059,0.057,0.116,0.091,0.19,0.603,0.793,IL
17023,0.127,0.089,0.216,0.107,0.226,0.451,0.677,IL
17025,0.062,0.115,0.177,0.145,0.306,0.372,0.678,IL
17027,0.102,0.063,0.165,0.083,0.166,0.587,0.753,IL
17029,0.112,0.055,0.167,0.201,0.221,0.411,0.632,IL
17031,0.023,0.021,0.044,0.072,0.162,0.722,0.884,IL
17033,0.146,0.196,0.342,0.047,0.219,0.392,0.611,IL
17035,0.095,0.075,0.17,0.194,0.212,0.424,0.636,IL
17037,0.007,0.012,0.019,0.034,0.191,0.756,0.947,IL
17039,0.035,0.106,0.141,0.073,0.28,0.507,0.787,IL
17041,0.048,0.061,0.109,0.105,0.191,0.594,0.785,IL
17043,0.01,0.01,0.02,0.056,0.163,0.76,0.923,IL
17045,0.174,0.09,0.264,0.131,0.208,0.398,0.606,IL
17047,0.086,0.148,0.234,0.233,0.306,0.228,0.534,IL
17049,0.072,0.072,0.144,0.214,0.232,0.41,0.642,IL
17051,0.069,0.076,0.145,0.156,0.229,0.47,0.699,IL
17053,0.011,0.082,0.093,0.167,0.172,0.567,0.739,IL
17055,0.099,0.166,0.265,0.119,0.211,0.405,0.616,IL
17057,0.016,0.03,0.046,0.311,0.199,0.444,0.643,IL
17059,0.201,0.06,0.261,0.128,0.238,0.373,0.611,IL
17061,0.136,0.029,0.165,0.109,0.217,0.508,0.725,IL
17063,0.056,0.056,0.112,0.105,0.183,0.599,0.782,IL
17065,0.138,0.179,0.317,0.1,0.21,0.373,0.583,IL
17067,0.147,0.154,0.301,0.125,0.163,0.411,0.574,IL
17069,0.163,0.072,0.235,0.235,0.191,0.34,0.531,IL
17071,0.096,0.044,0.14,0.101,0.155,0.604,0.759,IL
17073,0.067,0.072,0.139,0.061,0.203,0.597,0.8,IL
17075,0.097,0.168,0.265,0.069,0.242,0.424,0.666,IL
17077,0.066,0.078,0.144,0.151,0.209,0.496,0.705,IL
17079,0.099,0.135,0.234,0.131,0.254,0.38,0.634,IL
17081,0.122,0.126,0.248,0.08,0.279,0.393,0.672,IL
17083,0.074,0.079,0.153,0.124,0.185,0.537,0.722,IL
17085,0.034,0.104,0.138,0.22,0.178,0.465,0.643,IL
17087,0.124,0.05,0.174,0.189,0.141,0.496,0.637,IL
17089,0.013,0.026,0.039,0.048,0.165,0.748,0.913,IL
17091,0.044,0.084,0.128,0.096,0.249,0.527,0.776,IL
17093,0.001,0.009,0.01,0.065,0.136,0.788,0.924,IL
17095,0.035,0.031,0.066,0.194,0.246,0.494,0.74,IL
17097,0.02,0.018,0.038,0.046,0.146,0.769,0.915,IL
17099,0.018,0.046,0.064,0.113,0.267,0.556,0.823,IL
17101,0.197,0.157,0.354,0.105,0.281,0.26,0.541,IL
17103,0.013,0.054,0.067,0.058,0.224,0.65,0.874,IL
17105,0.03,0.147,0.177,0.08,0.234,0.51,0.744,IL
17107,0.046,0.045,0.091,0.23,0.128,0.551,0.679,IL
17109,0.041,0.091,0.132,0.097,0.182,0.59,0.772,IL
17111,0.03,0.012,0.042,0.066,0.176,0.716,0.892,IL
17113,0.085,0.062,0.147,0.091,0.201,0.561,0.762,IL
17115,0.016,0.062,0.078,0.088,0.286,0.549,0.835,IL
17117,0.015,0.05,0.065,0.147,0.227,0.561,0.788,IL
17119,0.035,0.045,0.08,0.083,0.189,0.648,0.837,IL
17121,0.1,0.093,0.193,0.101,0.302,0.404,0.706,IL
17123,0.048,0.083,0.131,0.133,0.198,0.538,0.736,IL
17125,0.238,0.031,0.269,0.292,0.126,0.313,0.439,IL
17127,0.097,0.043,0.14,0.232,0.256,0.373,0.629,IL
17129,0.102,0.047,0.149,0.138,0.172,0.54,0.712,IL
17131,0.039,0.066,0.105,0.11,0.215,0.571,0.786,IL
17133,0.003,0.04,0.043,0.112,0.174,0.67,0.844,IL
17135,0.018,0.05,0.068,0.091,0.316,0.525,0.841,IL
17137,0.05,0.062,0.112,0.177,0.178,0.533,0.711,IL
17139,0.081,0.073,0.154,0.213,0.243,0.39,0.633,IL
17141,0.053,0.045,0.098,0.129,0.184,0.589,0.773,IL
17143,0.039,0.036,0.075,0.096,0.251,0.577,0.828,IL
17145,0.055,0.092,0.147,0.104,0.358,0.392,0.75,IL
17147,0.003,0.052,0.055,0.06,0.198,0.688,0.886,IL
17149,0.138,0.079,0.217,0.218,0.205,0.36,0.565,IL
17151,0.104,0.054,0.158,0.213,0.214,0.415,0.629,IL
17153,0.117,0.064,0.181,0.189,0.225,0.405,0.63,IL
17155,0.021,0.025,0.046,0.168,0.251,0.535,0.786,IL
17157,0.008,0.032,0.04,0.117,0.391,0.452,0.843,IL
17159,0.111,0.151,0.262,0.107,0.3,0.331,0.631,IL
17161,0.078,0.025,0.103,0.066,0.235,0.596,0.831,IL
17163,0.032,0.027,0.059,0.037,0.138,0.767,0.905,IL
17165,0.117,0.106,0.223,0.111,0.204,0.462,0.666,IL
17167,0.017,0.03,0.047,0.155,0.233,0.564,0.797,IL
17169,0.132,0.1,0.232,0.152,0.198,0.417,0.615,IL
17171,0.113,0.057,0.17,0.148,0.162,0.52,0.682,IL
17173,0.07,0.047,0.117,0.168,0.245,0.469,0.714,IL
17175,0.013,0.101,0.114,0.058,0.155,0.672,0.827,IL
17177,0.036,0.059,0.095,0.041,0.222,0.644,0.866,IL
17179,0.044,0.04,0.084,0.141,0.215,0.56,0.775,IL
17181,0.1,0.078,0.178,0.162,0.195,0.466,0.661,IL
17183,0.023,0.119,0.142,0.088,0.266,0.504,0.77,IL
17185,0.078,0.113,0.191,0.271,0.325,0.212,0.537,IL
17187,0.042,0.02,0.062,0.141,0.276,0.522,0.798,IL
17189,0.118,0.046,0.164,0.053,0.327,0.456,0.783,IL
17191,0.086,0.142,0.228,0.128,0.3,0.345,0.645,IL
17193,0.19,0.144,0.334,0.095,0.239,0.332,0.571,IL
17195,0.025,0.066,0.091,0.042,0.218,0.649,0.867,IL
17197,0.041,0.024,0.065,0.062,0.134,0.739,0.873,IL
17199,0.095,0.122,0.217,0.136,0.183,0.464,0.647,IL
17201,0.031,0.03,0.061,0.089,0.193,0.657,0.85,IL
17203,0.062,0.067,0.129,0.112,0.242,0.517,0.759,IL
MAX,0.238,0.196,0.354,0.311,0.391,0.788,0.947,IL
MIN,0,0.006,0.01,0.034,0.126,0.212,0.439,IL
AVERAGE,0.07227451,0.071313725,0.143588235,0.126872549,0.219490196,0.510078431,0.729568627,IL
18001,0.136,0.047,0.183,0.16,0.348,0.309,0.657,IN
18003,0.07,0.14,0.21,0.099,0.228,0.464,0.692,IN
18005,0.138,0.084,0.222,0.085,0.286,0.406,0.692,IN
18007,0.082,0.126,0.208,0.112,0.183,0.496,0.679,IN
18009,0.093,0.152,0.245,0.106,0.203,0.447,0.65,IN
18011,0.052,0.085,0.137,0.142,0.308,0.413,0.721,IN
18013,0.055,0.061,0.116,0.041,0.184,0.66,0.844,IN
18015,0.059,0.104,0.163,0.17,0.22,0.447,0.667,IN
18017,0.037,0.192,0.229,0.283,0.206,0.283,0.489,IN
18019,0.068,0.06,0.128,0.141,0.228,0.501,0.729,IN
18021,0.122,0.073,0.195,0.112,0.226,0.466,0.692,IN
18023,0.088,0.033,0.121,0.132,0.285,0.462,0.747,IN
18025,0.067,0.089,0.156,0.118,0.261,0.465,0.726,IN
18027,0.049,0.061,0.11,0.13,0.214,0.546,0.76,IN
18029,0.083,0.1,0.183,0.168,0.277,0.371,0.648,IN
18031,0.175,0.083,0.258,0.101,0.204,0.437,0.641,IN
18033,0.109,0.074,0.183,0.118,0.149,0.55,0.699,IN
18035,0.095,0.109,0.204,0.124,0.197,0.475,0.672,IN
18037,0.01,0.105,0.115,0.086,0.25,0.55,0.8,IN
18039,0.03,0.097,0.127,0.094,0.252,0.528,0.78,IN
18041,0.161,0.041,0.202,0.048,0.237,0.514,0.751,IN
18043,0.053,0.086,0.139,0.154,0.233,0.474,0.707,IN
18045,0.077,0.089,0.166,0.147,0.212,0.474,0.686,IN
18047,0.07,0.082,0.152,0.104,0.199,0.545,0.744,IN
18049,0.142,0.114,0.256,0.128,0.217,0.399,0.616,IN
18051,0.09,0.1,0.19,0.204,0.255,0.351,0.606,IN
18053,0.053,0.108,0.161,0.133,0.311,0.393,0.704,IN
18055,0.099,0.027,0.126,0.081,0.235,0.558,0.793,IN
18057,0.07,0.051,0.121,0.049,0.234,0.596,0.83,IN
18059,0.068,0.04,0.108,0.166,0.306,0.42,0.726,IN
18061,0.094,0.084,0.178,0.205,0.258,0.359,0.617,IN
18063,0.054,0.052,0.106,0.113,0.257,0.523,0.78,IN
18065,0.183,0.148,0.331,0.125,0.111,0.434,0.545,IN
18067,0.008,0.083,0.091,0.183,0.301,0.426,0.727,IN
18069,0.15,0.182,0.332,0.053,0.199,0.416,0.615,IN
18071,0.097,0.098,0.195,0.105,0.388,0.312,0.7,IN
18073,0.186,0.1,0.286,0.065,0.328,0.321,0.649,IN
18075,0.141,0.139,0.28,0.157,0.235,0.328,0.563,IN
18077,0.083,0.219,0.302,0.218,0.225,0.255,0.48,IN
18079,0.095,0.105,0.2,0.172,0.308,0.319,0.627,IN
18081,0.057,0.094,0.151,0.1,0.192,0.557,0.749,IN
18083,0.158,0.125,0.283,0.121,0.259,0.338,0.597,IN
18085,0.073,0.147,0.22,0.089,0.195,0.496,0.691,IN
18087,0.059,0.082,0.141,0.171,0.236,0.452,0.688,IN
18089,0.043,0.057,0.1,0.088,0.219,0.592,0.811,IN
18091,0.084,0.075,0.159,0.168,0.206,0.466,0.672,IN
18093,0.092,0.117,0.209,0.109,0.191,0.491,0.682,IN
18095,0.062,0.084,0.146,0.15,0.145,0.559,0.704,IN
18097,0.051,0.053,0.104,0.116,0.232,0.548,0.78,IN
18099,0.12,0.103,0.223,0.159,0.229,0.389,0.618,IN
18101,0.041,0.064,0.105,0.123,0.223,0.55,0.773,IN
18103,0.054,0.125,0.179,0.253,0.226,0.343,0.569,IN
18105,0.037,0.037,0.074,0.094,0.242,0.591,0.833,IN
18107,0.07,0.116,0.186,0.168,0.156,0.49,0.646,IN
18109,0.06,0.131,0.191,0.136,0.188,0.485,0.673,IN
18111,0.102,0.153,0.255,0.092,0.338,0.316,0.654,IN
18113,0.057,0.11,0.167,0.135,0.197,0.5,0.697,IN
18115,0.06,0.078,0.138,0.18,0.223,0.459,0.682,IN
18117,0.096,0.086,0.182,0.073,0.315,0.43,0.745,IN
18119,0.094,0.038,0.132,0.087,0.282,0.5,0.782,IN
18121,0.116,0.111,0.227,0.174,0.195,0.405,0.6,IN
